Time:9538,AccPitch:111.82, AccRoll:102.18
Time:9544,AccPitch:109.73, AccRoll:101.41
Time:9550,AccPitch:111.05, AccRoll:102.13
Time:9556,AccPitch:110.94, AccRoll:101.81
Time:9562,AccPitch:111.86, AccRoll:102.52
Time:9568,AccPitch:112.29, AccRoll:103.29
Time:9573,AccPitch:112.27, AccRoll:102.89
Time:9579,AccPitch:112.84, AccRoll:103.29
Time:9585,AccPitch:111.66, AccRoll:102.15
Time:9591,AccPitch:111.57, AccRoll:102.55
Time:9597,AccPitch:112.74, AccRoll:103.40
Time:9603,AccPitch:110.85, AccRoll:102.11
Time:9609,AccPitch:111.12, AccRoll:102.22
Time:9615,AccPitch:111.06, AccRoll:101.96
Time:9621,AccPitch:111.32, AccRoll:102.36
Time:9626,AccPitch:110.70, AccRoll:102.06
Time:9632,AccPitch:112.09, AccRoll:102.70
Time:9638,AccPitch:111.83, AccRoll:102.43
Time:9644,AccPitch:111.16, AccRoll:102.05
Time:9650,AccPitch:110.88, AccRoll:101.77
Time:9656,AccPitch:112.38, AccRoll:102.61
Time:9662,AccPitch:-031.14, AccRoll:-026.05
Time:9668,AccPitch:-029.27, AccRoll:-045.00
Time:9674,AccPitch:-165.66, AccRoll:-149.49
Time:9680,AccPitch:142.96, AccRoll:145.37
Time:9686,AccPitch:-139.75, AccRoll:135.00
Time:9692,AccPitch:143.92, AccRoll:135.00
Time:9698,AccPitch:147.57, AccRoll:135.00
Time:9704,AccPitch:160.88, AccRoll:168.67
Time:9710,AccPitch:146.12, AccRoll:147.28
Time:9716,AccPitch:147.04, AccRoll:114.65
Time:9721,AccPitch:148.42, AccRoll:126.87
Time:9727,AccPitch:132.65, AccRoll:135.74
Time:9733,AccPitch:144.35, AccRoll:127.58
Time:9739,AccPitch:151.23, AccRoll:127.11
Time:9745,AccPitch:151.32, AccRoll:124.91
Time:9751,AccPitch:154.91, AccRoll:124.54
Time:9757,AccPitch:155.43, AccRoll:130.44
Time:9763,AccPitch:174.90, AccRoll:119.07
Time:9769,AccPitch:152.54, AccRoll:109.49
Time:9774,AccPitch:034.29, AccRoll:077.41
Time:9780,AccPitch:-172.59, AccRoll:102.52
Time:9786,AccPitch:-002.02, AccRoll:055.60
Time:9792,AccPitch:-041.85, AccRoll:063.16
Time:9798,AccPitch:009.95, AccRoll:027.47
